date,open,high,low,close,volume,dividends,stock_splits,Symbol
2018-01-02 00:00:00-05:00,39.933982715247524,40.43620824884917,39.722764160494656,40.42681884765625,102223600,0.0,0.0,AAPL
2018-01-03 00:00:00-05:00,40.490190741195256,40.964255303118776,40.35642219303837,40.41978454589844,118071600,0.0,0.0,AAPL
2018-01-04 00:00:00-05:00,40.49253940209357,40.71079826612631,40.3845863312453,40.60753631591797,89738400,0.0,0.0,AAPL
2018-01-05 00:00:00-05:00,40.7037620126935,41.15670228861273,40.61223501708758,41.06986999511719,94640000,0.0,0.0,AAPL
2018-01-08 00:00:00-05:00,40.91731262207031,41.213014298775086,40.81874181549477,40.91731262207031,82271200,0.0,0.0,AAPL
2018-01-09 00:00:00-05:00,40.964251510804274,41.083939525023105,40.69671085825055,40.912620544433594,86336000,0.0,0.0,AAPL
2018-01-10 00:00:00-05:00,40.638048633487585,40.90558934530854,40.60049818035278,40.90324020385742,95839600,0.0,0.0,AAPL
2018-01-11 00:00:00-05:00,40.97363736609717,41.18485593261213,40.95017102382274,41.13557052612305,74670800,0.0,0.0,AAPL
2018-01-12 00:00:00-05:00,41.34678818518986,41.623718257592046,41.22240546196927,41.56035232543945,101672400,0.0,0.0,AAPL
2018-01-16 00:00:00-05:00,41.750449409423986,42.10013125931942,41.33740520403028,41.34914016723633,118263600,0.0,0.0,AAPL
2018-01-17 00:00:00-05:00,41.339743036563114,42.067267647244755,41.08628649993311,42.032066345214844,137547200,0.0,0.0,AAPL
2018-01-18 00:00:00-05:00,42.09542607592508,42.26674861785587,41.83258015439757,42.069610595703125,124773600,0.0,0.0,AAPL
2018-01-19 00:00:00-05:00,41.91707157358285,42.14471622089114,41.63545040010063,41.88187026977539,129700400,0.0,0.0,AAPL
2018-01-22 00:00:00-05:00,41.60963271688216,41.722280464117354,41.44535400612098,41.53922653198242,108434400,0.0,0.0,AAPL
2018-01-23 00:00:00-05:00,41.60962722922749,42.11185269646593,41.49697949684876,41.548606872558594,130756400,0.0,0.0,AAPL
2018-01-24 00:00:00-05:00,41.597905380444125,41.60964034357955,40.64743066260191,40.886810302734375,204420400,0.0,0.0,AAPL
